clip_id,concentration,frame_index,raw_frame,frame_step
C_01,1,0,19020,1
C_01,1,1,19021,1
C_01,1,2,19022,1
C_01,1,3,19023,1
C_01,1,4,19024,1
C_01,1,5,19025,1
C_01,1,6,19026,1
C_01,1,7,19027,1
C_01,1,8,19028,1
C_01,1,9,19029,1
C_01,1,10,19030,1
C_01,1,11,19031,1
C_01,1,12,19032,1
C_01,1,13,19033,1
C_01,1,14,19034,1
C_01,1,15,19035,1
C_01,1,16,19036,1
C_01,1,17,19037,1
C_01,1,18,19038,1
C_01,1,19,19039,1
C_01,1,20,19040,1
C_01,1,21,19041,1
C_01,1,22,19042,1
C_01,1,23,19043,1
C_01,1,24,19044,1
C_01,1,25,19045,1
C_01,1,26,19046,1
C_01,1,27,19047,1
C_01,1,28,19048,1
C_01,1,29,19049,1
C_01,1,30,19050,1
C_01,1,31,19051,1
C_01,1,32,19052,1
C_01,1,33,19053,1
C_01,1,34,19054,1
C_01,1,35,19055,1
C_01,1,36,19056,1
C_01,1,37,19057,1
C_01,1,38,19058,1
C_01,1,39,19059,1
C_01,1,40,19060,1
C_01,1,41,19061,1
C_01,1,42,19062,1
C_01,1,43,19063,1
C_01,1,44,19064,1
C_01,1,45,19065,1
C_01,1,46,19066,1
C_01,1,47,19067,1
C_01,1,48,19068,1
C_01,1,49,19069,1
C_01,1,50,19070,1
C_01,1,51,19071,1
C_01,1,52,19072,1
C_01,1,53,19073,1
C_01,1,54,19074,1
C_01,1,55,19075,1
C_01,1,56,19076,1
C_01,1,57,19077,1
C_01,1,58,19078,1
C_01,1,59,19079,1
C_01,1,60,19080,1
C_01,1,61,19081,1
C_01,1,62,19082,1
C_01,1,63,19083,1
C_01,1,64,19084,1
C_01,1,65,19085,1
C_01,1,66,19086,1
C_01,1,67,19087,1
C_01,1,68,19088,1
C_01,1,69,19089,1
C_01,1,70,19090,1
C_01,1,71,19091,1
C_01,1,72,19092,1
C_01,1,73,19093,1
C_01,1,74,19094,1
C_01,1,75,19095,1
C_01,1,76,19096,1
C_01,1,77,19097,1
C_01,1,78,19098,1
C_01,1,79,19099,1
C_01,1,80,19100,1
C_01,1,81,19101,1
C_01,1,82,19102,1
C_01,1,83,19103,1
C_01,1,84,19104,1
C_01,1,85,19105,1
C_01,1,86,19106,1
C_01,1,87,19107,1
C_01,1,88,19108,1
C_01,1,89,19109,1
C_01,1,90,19110,1
C_01,1,91,19111,1
C_01,1,92,19112,1
C_01,1,93,19113,1
C_01,1,94,19114,1
C_01,1,95,19115,1
C_01,1,96,19116,1
C_01,1,97,19117,1
C_01,1,98,19118,1
C_01,1,99,19119,1
C_02,2,0,16680,1
C_02,2,1,16681,1
C_02,2,2,16682,1
C_02,2,3,16683,1
C_02,2,4,16684,1
C_02,2,5,16685,1
C_02,2,6,16686,1
C_02,2,7,16687,1
C_02,2,8,16688,1
C_02,2,9,16689,1
C_02,2,10,16690,1
C_02,2,11,16691,1
C_02,2,12,16692,1
C_02,2,13,16693,1
C_02,2,14,16694,1
C_02,2,15,16695,1
C_02,2,16,16696,1
