noise,ppp,x,y,z,xy_rmse,xy_median,z_rmse,z_median,n_matched
0.0025,0.001,0.06803018599748611,0.07208525389432907,0.013702242635190487,0.09911806881427765,0.056145086884498596,0.013702242635190487,0.00692516565322876,8232
0.0625,0.001,0.16768603026866913,0.16331057250499725,0.018329478800296783,0.23407039046287537,0.1405724287033081,0.018329478800296783,0.007486598566174507,7991
0.0025,0.005,0.11545171588659286,0.11138863861560822,0.02165948785841465,0.1604260802268982,0.08781822770833969,0.02165948785841465,0.007072031497955322,36780
0.0625,0.005,0.20379814505577087,0.20879097282886505,0.02533872425556183,0.291765958070755,0.1780640035867691,0.02533872425556183,0.008116990327835083,33008
0.0025,0.008,0.1496511697769165,0.1467410922050476,0.02474512904882431,0.2095910757780075,0.11608240753412247,0.02474512904882431,0.007846653461456299,61021
0.0625,0.008,0.22376465797424316,0.2332949936389923,0.03031945787370205,0.32326021790504456,0.2027868777513504,0.03031945787370205,0.008998692035675049,56308
0.0025,0.012,0.17994049191474915,0.18051357567310333,0.030102599412202835,0.25487983226776123,0.1462804526090622,0.030102599412202835,0.008936122059822083,87901
0.0625,0.012,0.24265988171100616,0.25326433777809143,0.03698774054646492,0.3507515490055084,0.22740517556667328,0.03698774054646492,0.010311692953109741,79339
0.0025,0.015,0.19775278866291046,0.19822253286838531,0.03370193764567375,0.2799970209598541,0.16537468135356903,0.03370193764567375,0.009561806917190552,105326
0.0625,0.015,0.25085100531578064,0.26140934228897095,0.04147614538669586,0.36229968070983887,0.236845925450325,0.04147614538669586,0.01096905767917633,90070
0.0025,0.019,0.21163012087345123,0.2144298106431961,0.03835667297244072,0.3012763559818268,0.18070147931575775,0.03835667297244072,0.010322272777557373,120791
0.0625,0.019,0.26137781143188477,0.27211225032806396,0.048844799399375916,0.3773108124732971,0.2514532208442688,0.048844799399375916,0.01191180944442749,104855
0.0025,0.022,0.22303682565689087,0.22607603669166565,0.04267162084579468,0.3175780177116394,0.1941620260477066,0.04267162084579468,0.010999619960784912,132621
0.0625,0.022,0.26496344804763794,0.273691862821579,0.05357339605689049,0.38093680143356323,0.2551465630531311,0.05357339605689049,0.01236233115196228,108965
0.0025,0.025,0.23836280405521393,0.23938630521297455,0.04973777011036873,0.3378204107284546,0.21145834028720856,0.04973777011036873,0.01208031177520752,147949
0.0625,0.025,0.27686503529548645,0.2846117317676544,0.06246887892484665,0.3970617651939392,0.27033448219299316,0.06246887892484665,0.013641297817230225,122987
0.0025,0.029,0.2452511489391327,0.2453799694776535,0.05370955169200897,0.34692859649658203,0.22085686028003693,0.05370955169200897,0.012782692909240723,156018
0.0625,0.029,0.2795911133289337,0.2894909977912903,0.06798095256090164,0.4024626910686493,0.27712756395339966,0.06798095256090164,0.01435801386833191,129925
0.0025,0.032,0.25120455026626587,0.2510395348072052,0.0576275959610939,0.35514020919799805,0.22865208983421326,0.0576275959610939,0.013308703899383545,160694
0.0625,0.032,0.28452104330062866,0.29247790575027466,0.0743701234459877,0.4080386459827423,0.2832931578159332,0.0743701234459877,0.015206307172775269,135530
0.0025,0.036,0.26212188601493835,0.25901928544044495,0.06618494540452957,0.3685089945793152,0.24118690192699432,0.06618494540452957,0.014436423778533936,170200
0.0625,0.036,0.2945995330810547,0.3003808856010437,0.08273819833993912,0.42073455452919006,0.2954823076725006,0.08273819833993912,0.016272366046905518,145465
0.0025,0.039,0.2701599895954132,0.26568350195884705,0.07380793988704681,0.3789117634296417,0.2515266239643097,0.07380793988704681,0.015494465827941895,177378
0.0625,0.039,0.301422119140625,0.30746787786483765,0.09261038154363632,0.43057146668434143,0.30779439210891724,0.09261038154363632,0.018157541751861572,156075
0.0025,0.043,0.2731107175350189,0.26853251457214355,0.07581079006195068,0.3830132782459259,0.2552962899208069,0.07581079006195068,0.015874147415161133,178780
0.0625,0.043,0.30252814292907715,0.30838027596473694,0.09387218207120895,0.43199729919433594,0.30854737758636475,0.09387218207120895,0.01817643642425537,155417
0.0025,0.047,0.2800629436969757,0.2756864130496979,0.08167198300361633,0.39298632740974426,0.2647742033004761,0.08167198300361633,0.01659984141588211,186045
0.0625,0.047,0.3111211061477661,0.31691446900367737,0.10288484394550323,0.4441070854663849,0.3211599886417389,0.10288484394550323,0.01983928680419922,167114
0.0025,0.05,0.2929607629776001,0.28887441754341125,0.09638365358114243,0.4114297330379486,0.28441962599754333,0.09638365358114243,0.018888860940933228,199860
0.0625,0.05,0.3149884343147278,0.3220154643058777,0.11014344543218613,0.45045721530914307,0.3296569287776947,0.11014344543218613,0.021136343479156494,173299
